"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YMR006C",1247.75383884438,-1.85171779903427,0.0553649071646546,-33.4456950054533,2.97274027589277e-245,1.36448778663478e-243
"YAL061W",1473.36734595517,-2.23493155105572,0.0673535767573033,-33.1820767159686,1.95265976201233e-241,8.90335262348005e-240
"YDL048C",1441.8216253119,-1.33986191663974,0.040489717142193,-33.0914121216103,3.94981181806344e-240,1.78910883995834e-238
"YLR399C",1263.20332424525,-0.609346630184188,0.018486249094411,-32.962156199032,2.83293064236736e-238,1.27481878906531e-236
"YMR173W",276.117251091919,-1.9478820517776,0.05991600091174,-32.5102146694829,7.64783830555709e-232,3.4191796580364e-230
"YDR342C",14441.6365151684,-2.97159736323001,0.0915295034706437,-32.4660055015277,3.22028050637743e-231,1.43042782492959e-229
"YDR343C",8307.46633444935,-2.7605445305894,0.0850471514076991,-32.45898874797,4.04493529049971e-231,1.78521663301862e-229
"YMR145C",2955.79736492306,-0.756931881479287,0.0234165306860037,-32.3246808687895,3.1484570026156e-229,1.38070869191136e-227
"YJR148W",1789.01518987545,-1.48417184608384,0.0461823609704039,-32.1372016262871,1.33321761790668e-226,5.80962234132119e-225
"YNL134C",1449.19782346736,-1.33700900787221,0.0417178211806821,-32.0488695246464,2.27641657378917e-225,9.85731327706821e-224
"YJL016W",514.297802516839,-1.05377882458952,0.0330981245102376,-31.838022249979,1.92827062128973e-222,8.29758951723735e-221
"YOR108W",801.255196991005,-1.32668063128582,0.0425558417561691,-31.1750532133111,2.32150929924207e-213,9.92769659955382e-212
"YPR139C",798.770742611502,0.611218661428771,0.0197618653721149,30.9291987329918,4.83880470655308e-210,2.05649200028506e-208
"YOR100C",90.7149488453506,1.95560913698767,0.0640760491219981,30.5201266898381,1.40923074204934e-204,5.95248690736791e-203
"YJR052W",504.728876767015,0.640563027866179,0.0210886425023678,30.3747871772333,1.18276576720728e-202,4.96545262635493e-201
"YOL020W",1039.48938224484,-0.878677727344041,0.0289848051500922,-30.3151158958627,7.2466543415172e-202,3.02383122068763e-200
"YLR213C",292.905503805328,1.10876196325857,0.036640698923399,30.2603933832307,3.80828772260418e-201,1.57952174518854e-199
"YMR122C",215.459783779173,2.21998662777118,0.0736787933048815,30.1306051333512,1.9257574726243e-199,7.93942526887325e-198
"YLR417W",713.175965543493,0.704034599397965,0.0234931926854576,29.96759992667,2.59535175111845e-197,1.06363076228872e-195
"YKL037W",209.680600263494,1.54702830268838,0.0517334486569344,29.9038309420924,1.75458543612743e-196,7.14811877380911e-195
"YER072W",2695.38353097765,-1.13789764804064,0.0381178591722317,-29.8520869941611,8.24794558075976e-196,3.3404179602077e-194
"YIR028W",137.362060016698,1.07945698988424,0.0362092612600588,29.8116269793925,2.76137755130061e-195,1.11181780354998e-193
"YLL060C",489.258795502444,1.26307188660981,0.0424528583626166,29.7523402504754,1.61737941156359e-194,6.47421933059032e-193
"YEL040W",4369.16746836842,-1.44067213106676,0.048461504802936,-29.7281757329887,3.32103628540853e-194,1.32169565462646e-192
"YGR044C",495.968602089372,-1.18350535779722,0.0398177896064495,-29.723030070095,3.87059219009443e-194,1.5315532890115e-192
"YNR050C",1668.69196993286,-1.09914238067077,0.0370288715837074,-29.6833884928426,1.25814205011341e-193,4.94989029430335e-192
"YLR346C",67.131376570034,-2.14175839494293,0.0724083978266823,-29.5788673583066,2.79448968496131e-192,1.0931853114181e-190
"YPL018W",113.236002790052,-1.19461543650574,0.0403888428455038,-29.577857456214,2.87932192661515e-192,1.12000742738674e-190
"YNL300W",744.779788105312,-1.47583029716183,0.0500646936353884,-29.4784645624723,5.43694577210105e-191,2.10299840679302e-189
"YNL332W",56.486028790334,2.13478916336722,0.0725165024546479,29.4386669393263,1.75832410682278e-190,6.76316283546082e-189
"YPL134C",600.974160145108,1.30588243262094,0.0446770588849716,29.2293733117738,8.2131195859511e-188,3.1415182416263e-186
"YDR044W",2086.81465746002,-1.73356773133881,0.059559741647848,-29.1063675458614,2.98197608927924e-186,1.13430416434738e-184
"YIL119C",281.104626313431,-2.1531263350502,0.074090173015931,-29.0608895539659,1.12100561213137e-185,4.240727274464e-184
"YGR153W",147.187849381414,1.22754812189766,0.0422848968722797,29.0304154129884,2.71940788499805e-185,1.0231214911591e-183
"YMR244W",79.3449145290919,2.0056146032243,0.0691255388290387,29.0140899759868,4.37005813379039e-185,1.63520925277972e-183
"YNL279W",188.309941453674,1.07762326312063,0.0372573401809564,28.9237840888985,5.99764401487884e-184,2.23209616445626e-182
"YPL075W",790.672062114591,-0.890122194524159,0.0310042348498792,-28.709697202143,2.88726371328051e-181,1.06875326160948e-179
"YGR096W",345.980894833907,1.04479388950059,0.0364043845688888,28.6996718080348,3.85138734876382e-181,1.41801079659031e-179
"YLR258W",3529.33003660787,-2.17165549874597,0.0758419040836528,-28.633979130464,2.53789478639663e-180,9.29436468315999e-179
"YDL154W",91.619660030091,-1.36981341568693,0.0478467118390868,-28.6292069618859,2.90995021425095e-180,1.06005329233427e-178
"YLR108C",473.380038313636,1.47403733579802,0.0515005800779108,28.6217618047811,3.60209873816258e-180,1.30528683222365e-178
"YGR281W",1185.77535748775,-0.707736473021148,0.0247718828589821,-28.5701525818626,1.5786137386288e-179,5.69044795312006e-178
"YOL114C",121.846202607238,1.14023867370663,0.0401656109706602,28.3884309525266,2.809609243841e-177,1.00750831478361e-175
"YDR010C",47.5361374584304,2.19622503278396,0.0775060544697239,28.3361738358372,1.23915587293354e-176,4.42051201302975e-175
"YPL062W",46.4511617789374,2.52009081993434,0.0889645981790236,28.3268948718586,1.61227204060139e-176,5.72190360801061e-175
"YER056C",2399.77424015732,-1.29265652993064,0.0456801739668901,-28.2979773865919,3.65972380730475e-176,1.29216402119452e-174
"YER047C",616.319302360478,0.726447732611858,0.0257136947275832,28.2513944537342,1.36829276105939e-175,4.8064773774969e-174
"YCL048W",49.6863843906683,1.96178297892195,0.069449485089923,28.2476245343193,1.52225881711188e-175,5.32017865777426e-174
"YJR045C",7981.11064962317,-0.643253520542178,0.0227995518643497,-28.2134282449645,4.00195442091875e-175,1.39158869636493e-173
"YOL152W",149.442825943571,-1.37307044352987,0.0487544890414636,-28.1629542330376,1.66321917205177e-174,5.75440401988765e-173
"YJL200C",585.801736090721,-1.2900515635634,0.0459244605271792,-28.0907287479168,1.27151113440288e-173,4.37717708018193e-172
"YGL162W",494.367684304121,-1.48323740922125,0.0528976088162495,-28.0397818051394,5.32203495465968e-173,1.82299555536477e-171
"YMR017W",53.7731562379109,1.68538104792993,0.0602803707531773,27.9590358664325,5.1191362978107e-172,1.74481452526865e-170
"YKL108W",301.63739471872,0.982047647808418,0.0354258837967727,27.7211897786974,3.87836551300347e-169,1.31539638211965e-167
"YJR078W",110.529076893639,1.7621413529551,0.0637309695635868,27.6496868794212,2.81508882792963e-168,9.50092479426249e-167
"YIR042C",213.110970539156,1.17849425200457,0.0426342758920567,27.6419436555773,3.48804326785063e-168,1.17147209264154e-166
"YOR114W",122.592332682854,1.21012725275475,0.0439144992358546,27.5564397593479,3.70500356293245e-167,1.23829852091213e-165
"YMR195W",942.529908247164,-1.50595787138063,0.0548682302003178,-27.4468096726018,7.58430118147166e-166,2.52260452340253e-164
"YOR032C",163.564476877418,-1.09584255816534,0.0400324106308224,-27.3738838330562,5.61292189842806e-165,1.85793111878256e-163
"YJL170C",161.990120218825,1.18859639998374,0.0435375711969493,27.3004755962828,4.1868080502047e-164,1.3792427476392e-162
"YDL241W",233.057398032566,-1.78056006351281,0.0662502836540744,-26.876263244547,4.1614031185292e-159,1.36434573671779e-157
"YNL193W",495.394383165374,0.586784696742818,0.0219457820186616,26.7379260508396,1.70616230455094e-157,5.56726420229063e-156
"YOR126C",289.658065420734,0.782156275727673,0.0292656332097377,26.7261012301426,2.34149348575351e-157,7.6043314384023e-156
"YGR177C",202.362464984824,-1.6939367338016,0.063593842052345,-26.6368044315879,2.5449465133776e-156,8.22627077211493e-155
"YLR049C",290.35525705521,0.816841522960684,0.0307313396332444,26.5800818548452,1.15367185213433e-155,3.71169658969385e-154
"YLR151C",398.198732236846,1.14320301063895,0.0434347455052169,26.3200117173851,1.13186471756494e-152,3.62459933973701e-151
"YPL163C",1399.31648810291,-1.36472575149555,0.0518838096309562,-26.3034993228657,1.74885680473153e-152,5.57448106508174e-151
"YKL152C",17798.0123416116,-0.83174684876316,0.0316568911831022,-26.273800669572,3.82220044652491e-152,1.21271198499189e-150
"YEL065W",840.099173467949,-1.31606774324384,0.0501694908698816,-26.2324317114791,1.13414208650191e-151,3.5819120484246e-150
"YFL058W",50.4051827975057,1.96164100654656,0.0750010873466081,26.154834229017,8.68320199390225e-151,2.72985596931584e-149
"YGR082W",868.121317069629,-0.547496619725067,0.0209893679134427,-26.0844739099752,5.46999873791607e-150,1.71186096866146e-148
"YHR095W",22.0649905248215,3.73698001044745,0.143415557011574,26.0570058668451,1.12059076994644e-149,3.49107124483315e-148
"YIL015W",400.500674684791,-0.966982213179234,0.037222329858728,-25.9785514998464,8.65442671187605e-149,2.6840417978048e-147
"YBR025C",5380.54206735648,-0.623638126073331,0.0240879875739534,-25.8900053048714,8.63023474855848e-148,2.66453660286211e-146
"YHR007C-A",51.1967797997276,1.89288999196622,0.0735217756331138,25.7459776462971,3.57572645219126e-146,1.09905699211325e-144
"YKR039W",1011.60970367167,1.80066927195492,0.0702306133631858,25.6393784095699,5.55411822360177e-145,1.69956017642214e-143
"YGR110W",156.592556463516,1.45995486937809,0.0570088668302988,25.6092595863027,1.20309904337795e-144,3.66519332462707e-143
"YBR146W",765.292856841473,-0.483325706276986,0.0188929996051121,-25.5822641390521,2.40348866446978e-144,7.28987641183896e-143
"YLR214W",1536.09052720846,-1.17513546511538,0.0460852272969343,-25.4991791088237,2.01300971677545e-143,6.0787596052627e-142
"YOL136C",756.562619233326,-1.58632350405153,0.062296214324764,-25.4642039046173,4.91468029371125e-143,1.47762331101319e-141
"YNL220W",2229.46707526319,-0.853093916894165,0.033517508837332,-25.4521874234276,6.67664220119211e-143,1.99863832848729e-141
"YBR069C",1588.21819127879,-1.22694623951264,0.0482315929575702,-25.4386422731673,9.4291679117061e-143,2.81038186459292e-141
"YOR318C",70.3111102479836,1.33068310046206,0.0524474079305073,25.3717610263068,5.17054868515225e-142,1.53444946971005e-140
"YLR157W-E",72.6292657033825,-1.73790766241709,0.0687019345278814,-25.2963424445027,3.50440144285396e-141,1.03552806583903e-139
"YOL002C",1072.58122828958,-1.64239777575411,0.0650385378153279,-25.2526860369705,1.05818064248176e-140,3.11349304422518e-139
"YDL182W",2534.47277374807,-1.1134343830921,0.04418285574448,-25.2005979317262,3.94566460728522e-140,1.15599577962378e-138
"YDR119W-A",110.05300571982,-2.36718765310352,0.0943474943221633,-25.0900956099631,6.37913350462754e-139,1.86103110929494e-137
"YLR273C",153.589369780589,1.17094290877846,0.0467372766481771,25.0537256929396,1.59003580687695e-138,4.6191546541552e-137
"YKL162C-A",28.2931518983957,2.62133941030169,0.105327609523433,24.8874860272843,1.01646179961045e-136,2.94047877744452e-135
"YEL066W",351.104325869646,1.3227246874421,0.0532743907117707,24.8285277366832,4.41177699556839e-136,1.27092404244721e-134
"YFL068W",419.823239649588,0.798279219854693,0.0321850167622253,24.8028213175148,8.35810932071183e-136,2.39773261137921e-134
"YBR014C",536.81012022822,0.571944928121222,0.0231785016914597,24.6756643606502,1.95219060952719e-134,5.57710885750817e-133
"YLR089C",2081.63140196571,-0.785439256413945,0.0318567862013492,-24.655319951285,3.22708458499252e-134,9.18118899490639e-133
"YDR481C",2290.29879556029,-0.889551044077648,0.0361456923587928,-24.610153687131,9.83527502421489e-134,2.78666125686088e-132
"YMR265C",718.826348526372,0.483108555142754,0.0196501183541137,24.585529025153,1.80417181715973e-133,5.09087006604292e-132
"YHR143W",4030.39827171266,-1.21960221147532,0.0498303995200149,-24.4750638811445,2.72303664824413e-132,7.65228870333096e-131
"YDR089W",424.819081012553,-1.64392549692639,0.0673242927631846,-24.418013609277,1.10094641998344e-131,3.08130735836829e-130
"YBR296C",611.378691819826,-3.12645825832941,0.128154422961916,-24.3960230639758,1.88474366883714e-131,5.25362759511892e-130
"YLR136C",365.563587635902,-1.38197818021886,0.0567977142318302,-24.3315809255644,9.08371714787118e-131,2.52183034528601e-129
"YHR128W",848.062245510214,-1.14358769956243,0.0470741113098665,-24.2933465495447,2.30490076184854e-130,6.37318945595471e-129
"YIR027C",70.3452499478511,1.50808821242616,0.0621549422553011,24.2633676052935,4.77840965087919e-130,1.31597401785213e-128
"YHL040C",455.200190883472,-0.847829819600398,0.0350584144262305,-24.1833475208752,3.33065862883062e-129,9.13608950577643e-128
"YCL027W",151.187975251371,1.03950261148667,0.0430151226320543,24.1659804245692,5.07197227712355e-129,1.38573528285697e-127
"YCL021W-A",59.9288205781797,-1.47134955539057,0.0610439127204002,-24.1031331351547,2.31759800463183e-128,6.30698113118187e-127
"YLR161W",77.920435657848,1.12396553185917,0.0466880190446149,24.0739606189997,4.68544897848652e-128,1.27005181956219e-126
"YDR525W-A",384.817190195749,1.23648091013066,0.0513642833514336,24.0727764402099,4.82117627522121e-128,1.30171759430973e-126
