"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YPL151C",554.087094040449,0.00123411077080992,0.148419123084609,0.00831503882492552,0.993365635349056,0.997745983569605
"YDR096W",1764.63562338634,0.00102597596016046,0.154922806709536,0.00662249788750638,0.994716049805092,0.997961452903967
"YHR075C",233.002653573418,0.00127957132078904,0.18207242028831,0.00702781518893884,0.994392660922528,0.997961452903967
"YJL163C",728.020895159519,-0.00137091478767213,0.20384151267112,-0.00672539547861372,0.99463395123426,0.997961452903967
"YJR161C",398.703740597423,0.0017991676661116,0.258634067918492,0.00695642179157391,0.994449623219564,0.997961452903967
"YNL181W",527.529548781516,-0.00135405856451408,0.176213140438764,-0.00768420880044773,0.99386894877296,0.997961452903967
"YNR034W",515.687107401157,0.00129051988598187,0.190182112567302,0.00678570591398378,0.994585831567073,0.997961452903967
"YPL029W",263.296161054758,0.00123529502465477,0.163509948059844,0.00755486158067064,0.993972149926696,0.997961452903967
"YKL120W",564.662714643732,-0.00102254117255485,0.16264035705021,-0.00628713064272957,0.994983628576302,0.998067087872167
"YIL096C",103.139602185855,-0.00145188416663263,0.284663246362165,-0.00510035694873465,0.995930521579687,0.998834130304804
"YNL051W",281.726091904538,0.00121588328631191,0.247049035730951,0.00492162733084322,0.996073125391766,0.998834130304804
"YDL088C",757.551369552486,0.000688136345228509,0.160715412552495,0.00428170723827586,0.996583702339212,0.999020337308257
"YML014W",588.942119334997,0.000966701113276565,0.221799337243343,0.00435844906162172,0.996522471794589,0.999020337308257
"YDR156W",365.962684318295,-0.000852319840857549,0.23892543182098,-0.00356730480452231,0.997153708609619,0.999247877952288
"YER100W",867.876960022643,-0.000473970887341135,0.139967048747342,-0.00338630335913357,0.997298125995308,0.999247877952288
"YLR242C",168.895355421514,-0.00065457303748297,0.186430610043288,-0.003511081347269,0.997198568157157,0.999247877952288
"YGR213C",172.410377791292,0.000703713186048434,0.261751183077795,0.00268848139585785,0.99785490478634,0.999317320377136
"YLR433C",433.781042071853,0.000448952322657206,0.163745695715451,0.00274176564272793,0.99781239026514,0.999317320377136
"YOL085W-A",13.8086557068427,-0.00151228175104199,0.556852743842769,-0.00271576600414308,0.997833134898119,0.999317320377136
"YKL102C",15.7515584757352,-0.00130359736265641,0.570269930652258,-0.00228593038592337,0.998176093026466,0.999476224700874
"YER040W",548.033137095949,-0.00031082008410178,0.151376943917686,-0.00205328550080119,0.998361716351153,0.999499357896726
"YCL057C-A",1479.87575115348,-0.000249826543686228,0.270773253090739,-0.000922641142855083,0.999263838981399,0.999645267521913
"YDR166C",394.616547428438,-0.000216389754858731,0.269905156270785,-0.000801725160973345,0.99936031594058,0.999645267521913
"YGR037C",2837.83187479516,-0.000131759874256202,0.131253738281866,-0.00100385616425834,0.999199038799797,0.999645267521913
"YKL071W",96.4080339300998,0.000284924428049419,0.258072221115761,0.00110404919528946,0.999119096371671,0.999645267521913
"YNL253W",339.355182520505,0.00019631575306787,0.190044059243848,0.0010330012621756,0.999175784388206,0.999645267521913
"YPL013C",580.140456642225,0.000109234774118291,0.168491602590597,0.000648309900545672,0.999482723575975,0.999645267521913
"YKR073C",9.05831300099798,-1.13447291728238e-05,0.854983598512415,-1.32689436295182e-05,0.99998941291474,0.99998941291474
"15S_rRNA",4.79203060856519,-0.409830942987847,0.993056558764875,-0.412696476721909,0.679829006521783,NA
"HRA1",2.14561240444941,-0.862410526471601,1.54241850037738,-0.559128748948872,0.576073855623151,NA
"Q0045",0.513800080194479,-1.21104149598143,2.78046318007971,-0.435553869102741,0.663160446763446,NA
"Q0050",3.63208241878716,-0.83856536853466,1.07160259941945,-0.782533906682349,0.43390086675001,NA
"Q0055",1.72797913931822,0.0368071107945666,1.5205078697661,0.0242071162711106,0.980687401831266,NA
"Q0065",0.367799636567828,-0.310906353154779,3.54454873433666,-0.0877139451188737,0.930104035743512,NA
"Q0085",0.288758600845033,1.5061605684963,3.80768312910334,0.395558274527686,0.692430923685104,NA
"Q0110",0.149133748260025,0.650878948301193,4.0804728567969,0.159510667303427,0.87326655462673,NA
"Q0130",1.80730801844102,-1.65775015181918,1.53309711866145,-1.0813079821496,0.279560137938983,NA
"Q0160",0.757159936893749,2.88558062667189,2.3377740933305,1.2343282590496,0.21708060985163,NA
"Q0250",0.311018678603336,-1.96169250893615,4.05735995394124,-0.483489887810077,0.628747938097423,NA
